Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Art,Art;Licence AES;1;1.0;0
2021;Art,Art;Licence Arts;1;1.0;1
2021;Art,Art;Licence Génie civil;0;0.0;0
2021;Art,Art;Licence Histoire;1;0.0;0
2021;Art,Art;Licence Langues et littératures étrangères;0;0.0;0
2021;Art,Art;Licence MASS;0;0.0;0
2021;Art,Art;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2021;Art,Art;Licence Pluri Sciences;0;0.0;0
2021;Art,Art;Licence Pluri Sciences économiques - Gestion;0;0.0;0
2021;Art,Art;Licence Sciences juridiques;0;0.0;0
2021;Art,Art;BUT Production;1;0.0;0
2021;Art,Art;BTS Agricole;0;0.0;0
2021;Art,Art;BTS Production;0;0.0;0
2021;Art,Art;Ecoles de Commerce;0;0.0;0
2021;Art,HGGSP;Licence Archéologie, Ethno, Préhistoire, Anthropologie;94;47.0;10
2021;Art,HGGSP;Licence Histoire;1315;1093.0;428
2021;Art,HGGSP;Licence LEA;175;107.0;36
2021;Art,HGGSP;Licence Mathématiques et informatique;0;0.0;0
2021;Art,HGGSP;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;6;3.0;1
2021;Art,HGGSP;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2021;Art,HGGSP;Licence Sciences du langage - Linguistique;102;63.0;15
2021;Art,HGGSP;BTS Production;106;17.0;5
2021;Art,HLP;Licence AES;49;18.0;4
2021;Art,HLP;Licence Arts;1928;1516.0;720
2021;Art,HLP;Licence Géographie;69;26.0;5
2021;Art,HLP;Licence Langues et littératures étrangères;488;362.0;119
2021;Art,HLP;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2021;Art,HLP;Licence Sciences et technologies industrielles;18;9.0;4
2021;Art,HLP;CPGE S;73;12.0;4
2021;Art,HLP;D.E sanitaire;76;20.0;15
2021;Art,HLP;DEUST;82;27.0;15
2021;Art,HLP;Ensemble des bacheliers;3487;3087.0;2587
2021;Art,LLCER;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Art,LLCER;Licence Géographie;83;39.0;11
2021;Art,LLCER;Licence Mathématiques;7;2.0;0
2021;Art,LLCER;Licence Mathématiques et informatique;0;0.0;0
2021;Art,LLCER;Licence Pluri Lettres - Langues - Sciences humaines;257;160.0;35
2021;Art,LLCER;Licence Pluri Lettres - Sciences du langage - Arts;31;21.0;1
